Quary,Answer
5G基站建设项目的项目。,南京市的支持政策发布时间是2022年10月21日。其政策名称是关于2022年南京市工业和信息化发展专项资金项目申报的通知，其支持政策的具体内容是1、项目在2022年1月1日以后启动，且须在2022年底前建设完成并投入使用。，其支持政策的奖补情况是项目申报采取网上申报方式进行，在南京市工业和信息化局官网或“宁企通”平台上，点击“南京市工业和信息化发展专项资金项目申报和监管平台”进入申报页面，在线填写项目申报表，并上传其他申报材料。网上申报受理时间为2022年10月25日至2022年11月10日，逾期不再受理申报。
江苏省智能制造领军服务机构的项目。,南京市的支持政策发布时间是2023年3月17日。其政策名称是关于开展2023年江苏省智能制造领军服务机构遴选推荐工作的通知，其支持政策的具体内容是一、申报条件申报单位应符合以下条件：（一）在江苏省域内注册、具有独立法人资格且正常经营一年以上（截至2022年12月31日）。（二）2022年主营业务收入不少于3000万元，具有健全的财务管理机构和制度。（三）诚信守法，近三年内未发生重大及以上安全、环保、质量事故，无严重失信行为。（四）具有较强的综合集成服务能力和完善的服务体系，在申报行业具有良好的品牌影响力和资源整合力，已经形成3个及以上可复制、可推广、示范性强的场景案例。（五）拥有自主核心技术，其中智能制造系统集成技术相关的授权专利不少于6项（发明专利不少于1项）或与智能制造相关的软件著作权不少于10项，且近三年内无知识产权侵权行为。（六）符合国家智能制造系统解决方案供应商联盟发布的《智能制造系统解决方案供应商规范条件》规定条件的，优先遴选推荐。，其支持政策的奖补情况是二、有关要求（一）请申报单位编制《江苏省智能制造领军服务机构申报书》，向所在区、开发区工信主管部门申请。申报单位对申报材料的真实性负责。（二）请各区、开发区工信主管部门高度重视，按照通知要求，积极组织辖区内符合条件的单位申报。各区、开发区工信主管部门对申报单位申报材料严格审核把关，切实提高申报工作质量，并于4月10日前向市工信局正式行文上报申报书（一式三份）、汇总表等文件，电子版文件发送至联系人邮箱，逾期将不予受理。（三）市工信局将根据各区上报情况择优推荐。入选单位将纳入省制造业智改数转服务资源池统一管理，省工信厅将组织专家或委托第三方进行评价。入选单位应主动配合开展相关评价及宣传工作。
第二批智能化改造和数字化转型服务商的项目。,南京市的支持政策发布时间是2023年6月27日。其政策名称是关于征集南京市第二批智能化改造和数字化转型服务商的通知，其支持政策的具体内容是一、征集对象聚焦中小企业数字化转型需求，重点征集解决方案集成商、工业软件提供商、智能装备及自动化产线提供商，加速形成“小快轻准”（小型化、快速化、轻量化、精准化）的数字化解决方案和专项产品服务能力。二、申报要求1.申报主体在南京市内注册、具备独立法人资格，运营和财务状况良好，具有较好的社会信用，上一年度营业收入达2000万元以上（含）。2.服务团队规模达30人以上（含），能够持续稳定提供高质量服务。3.具有较深的行业知识积累、较好的工程实施能力和较为完善的行业服务生态，有3个以上成功的项目实施案例。4.对获评江苏省智能制造领军服务机构、纳入江苏省智能化改造和数字化转型服务资源池的单位，予以优先遴选。已入选2022年南京市第一批智能化改造和数字化转型解决方案集成商、智能装备及自动化产线提供商、工业软件提供商的单位不再重复申报。，其支持政策的奖补情况是三、申报流程南京市智能化改造和数字化转型服务商申报遵循自愿申报、择优确定和公开、公平、公正的原则，具体申报流程如下：1.申报主体填报服务商申报书（附件3），报送至各区（开发区）工信部门。2.各区（开发区）工信部门对申报材料进行审核，向市工业和信息化局行文推荐。3.市工业和信息化局组织遴选工作，经形式审查、专家评审、综合审核等环节，择优入选市智能化改造和数字化转型服务资源池。四、工作要求1.各区（开发区）工信部门要加强服务商培育发展工作，支持入池服务商做大做强，联合入池服务商开展供需对接、标杆培育、宣传培训等活动，推广中小企业数字化转型案例标杆，带动更多中小企业转型逐步深入。2.市工业和信息化局将根据服务绩效对资源池实行动态管理，并优先推荐申报省级领军服务商。对服务弄虚作假、不正当竞争造成恶劣影响的服务商，将取消资源池资格。3.请各区（开发区）工信部门于2023年7月14日前，将《申报书》及推荐汇总表（一式一份，加盖公章）上报市工业和信息化局信息化建设与发展处，电子档同步报送指定邮箱。联系人：张诗桂，电话：68788911，邮箱：njgxxjc@163.com。
人工智能示范应用场景需求和典型应用案例的项目。,南京市的支持政策发布时间是2023年3月28日。其政策名称是关于征集南京人工智能示范应用场景需求和典型应用案例的通知，其支持政策的具体内容是一、征集范围聚焦先导区创新发展的特色行业领域，主要围绕电力、石化、钢铁、汽车、建材、服装6大行业和制造、能源、文旅、消费、教育、卫生6大领域，面向本市人工智能应用场景建设的主体单位，征集应用场景需求及典型应用案例。，其支持政策的奖补情况是二、有关事项1.申报主体为本市有关部门、科研院所、高等院校、重点企业和产业园区等单位。其中，应用场景申报主体需具备支撑应用场景建设和运营的必要基础，典型应用案例要求拥有自主知识产权、技术先进，已实现商业应用。2.征集的应用场景、典型案例在一定范围具备普适性和通用性，对促进人工智能技术产品落地产生较强推进作用，有较高示范带动和推广价值。3.申报内容确保不涉及国家秘密、商业秘密等敏感信息，无相关伦理风险和安全隐患。4.请申报应用场景的单位认真填写《南京市人工智能应用场景需求征集表》（附件1），申报典型应用案例的单位认真填写《南京市人工智能典型应用案例征集表》（附件2），于4月14日前将征集表word版和盖章扫描件报送邮箱。5.我局将对征集到的应用场景需求和典型应用案例进行遴选，组织开展供需对接活动和宣传推介，择优给予政策支持。
省规划布局内重点软件企业和专精特新软件企业的项目。,南京市的支持政策发布时间是2023年3月28日。其政策名称是关于开展2023年省规划布局内重点软件企业和专精特新软件企业培育入库工作的通知，其支持政策的具体内容是一、推荐依据。参照最新修订的《江苏省规划布局内重点软件企业评估规范》（T/JSIA0004-2022）、《江苏省专精特新软件企业评估规范》（T/JSIA0005-2022）（附件1）。其支持政策的奖补情况是二、推荐流程。遵循企业自愿申报原则，各区工信局、国家级开发区管委会经发局组织辖区内企业参照评估规范的评价标准进行自评，对通过初评的企业予以推荐上报。新入库企业有效期为2年。同一企业只能选择一个类别申报。2021、2022年已入库企业无需重复申报。三、材料要求。申报企业须依据附件2格式要求，提交纸质版申报材料（胶装成册，一式1份，需加盖企业公章）。四、推荐要求。各区（园区）经初审后，对推荐上报的2023年省规划布局内重点软件企业和专精特新软件企业，填写推荐表（附件3，纸质版加盖公章），并于6月30日前将推荐表和企业申报材料一并报送我处。五、其他要求。入库企业须定期通过江苏省软件行业政企服务平台报送主要经营数据，接受动态监测。
软件企业和专精特新软件企业培育入库工作的通知的项目。,南京市的支持政策发布时间是2023年3月28日。其政策名称是关于开展2023年省规划布局内重点软件企业和专精特新软件企业培育入库工作的通知，其支持政策的具体内容是一、推荐依据。参照最新修订的《江苏省规划布局内重点软件企业评估规范》（T/JSIA0004-2022）、《江苏省专精特新软件企业评估规范》（T/JSIA0005-2022）（附件1）。，其支持政策的奖补情况是二、推荐流程。遵循企业自愿申报原则，各区工信局、国家级开发区管委会经发局组织辖区内企业参照评估规范的评价标准进行自评，对通过初评的企业予以推荐上报。新入库企业有效期为2年。同一企业只能选择一个类别申报。2021、2022年已入库企业无需重复申报。三、材料要求。申报企业须依据附件2格式要求，提交纸质版申报材料（胶装成册，一式1份，需加盖企业公章）。四、推荐要求。各区（园区）经初审后，对推荐上报的2023年省规划布局内重点软件企业和专精特新软件企业，填写推荐表（附件3，纸质版加盖公章），并于6月30日前将推荐表和企业申报材料一并报送我处。五、其他要求。入库企业须定期通过江苏省软件行业政企服务平台报送主要经营数据，接受动态监测。
工业软件优秀产品及首版次工业软件产品应用试点项目的项目。,南京市的支持政策发布时间是2023年4月23日。其政策名称是关于开展2023年工业软件优秀产品及首版次工业软件产品应用试点项目征集的通知（2023年4月23日），其支持政策的具体内容是一、征集范围（一）工业软件优秀产品重点征集计算机辅助设计、仿真、计算等工具软件，关键工业控制软件，高附加值的运营维护和经营管理类工业软件优秀产品。（二）首版次工业软件产品应用试点项目重点征集采用自主核心知识产权的首版次工业软件产品应用试点项目。二、征集要求（一）申报单位要求申报单位须在南京境内注册，具有独立法人资格，有固定生产、经营活动场所，遵守国家法律法规，近三年无违反法律法规情况、无被执行案件失信记录、无财产或账户查封冻结情况、无因使用本单位软件产品造成较大及以上安全事故。（二）工业软件优秀产品要求1.申报单位可申报1-2个应用于航空、航天、石化、钢铁、船舶、电力、交通、核工业、汽车、电子信息、移动终端、机械等重点领域的优秀产品，建议择优申报不同类别的软件产品。2.申报的软件产品拥有自主知识产权、技术先进、实现产业化或已在行业中部署应用，在重点领域有工业企业典型应用案例。3.申报单位须如实填写申报书，并提供营业执照、合同、专利证书、软件著作权、测试报告等相关佐证资料。（三）首版次工业软件产品应用试点项目1.申报单位为我市工业领域重点行业用户单位，通过部署应用首版次工业软件产品取得明显成效，可显著提高企业研发、制造、生产管理水平或工业装备性能。2.申报单位部署应用的工业软件产品为首版次工业软件产品，具有自主知识产权，具备软件著作权（开发完成日期须在2022年1月1日及以后），已通过第三方软件产品检测。应用的工业软件产品为首次正式发布并进行销售，尚未取得重大市场业绩、具有良好市场推广应用前景。仅限于企业自用的软件或用户定制的非通用软件，不属于征集范围。3.申报单位须如实填写申报书，并提供营业执照、采购合同、用户报告或验收报告、专审报告，以及首版次软件产品的知识产权、测试报告等相关佐证资料。，其支持政策的奖补情况是三、征集程序（一）请各区（开发区）工业和信息化主管部门，组织本地区企业积极参与申报，做好工业软件优秀产品、首版次工业软件产品应用试点项目的审核把关、遴选推荐工作。（二）请各推荐单位填写工业软件优秀产品、首版次工业软件产品应用试点项目推荐表（附件1），申报企业填写《工业软件优秀产品申报书》（附件2）、《首版次工业软件产品应用试点项目申报书》（附件3），加盖公章后的申报书扫描件报推荐单位审查。推荐单位请于2023年5月19日前，将上述材料盖章后的扫描件发送至联系人邮箱。其政策名称是《南京市工业企业重大设备技改项目奖补实施办法》，其支持政策的具体内容是按项目本申报年度一年之内（项目的技术设备购置发票开具日期为上一年度的下半年申报受理截止日以后，且至本年度奖补申报截止日止）技术设备购置总额的10%、封顶1000万元给予奖补。，其支持政策的奖补情况是三、征集程序（一）请各区（开发区）工业和信息化主管部门，组织本地区企业积极参与申报，做好工业软件优秀产品、首版次工业软件产品应用试点项目的审核把关、遴选推荐工作。（二）请各推荐单位填写工业软件优秀产品、首版次工业软件产品应用试点项目推荐表（附件1），申报企业填写《工业软件优秀产品申报书》（附件2）、《首版次工业软件产品应用试点项目申报书》（附件3），加盖公章后的申报书扫描件报推荐单位审查。推荐单位请于2023年5月19日前，将上述材料盖章后的扫描件发送至联系人邮箱。
两化融合的项目。,南京市的支持政策发布时间是20230904。其政策名称是《南京市全力促进经济持续回升向好若干政策措施》，其支持政策的具体内容是加大“两业”融合发展试点激励，对新认定为国家级服务型制造示范企业给予100万元奖励，对获评国家级“两业”融合发展试点单位、省级“两业”融合发展标杆单位的企业，分别给予200万元、50万元奖励。其支持政策的奖补情况是三、征集程序（一）请各区（开发区）工业和信息化主管部门，组织本地区企业积极参与申报，做好工业软件优秀产品、首版次工业软件产品应用试点项目的审核把关、遴选推荐工作。（二）请各推荐单位填写工业软件优秀产品、首版次工业软件产品应用试点项目推荐表（附件1），申报企业填写《工业软件优秀产品申报书》（附件2）、《首版次工业软件产品应用试点项目申报书》（附件3），加盖公章后的申报书扫描件报推荐单位审查。推荐单位请于2023年5月19日前，将上述材料盖章后的扫描件发送至联系人邮箱。联系人：林卿联系电话：025-68788858电子邮箱：54286586@qq.com。
两化（深度）融合类示范试点的项目,"宿迁市的支持政策发布时间是2021年。其政策名称是《宿迁市建设长三角先进制造业基地三年行动计划（2021－2023年）》，其支持政策的具体内容是3.鼓励企业实施两化融合管理体系贯标2.0，对当年通过两化融合管理体系贯标评定的企业，按照评定分级，5A级、4A级、3A级、2A级分别奖励20万元、15万元、10万元、5万元。
无锡市的支持政策发布时间是2023年5月9日。其政策名称是《关于发布2023年度无锡市工业转型升级资金项目指南及组织项目申报的通知》，其支持政策的具体内容是5.对技术和服务投资额50万元以上的企业两化融合项目，按照不超过其项目技术和服务投资额的10%最高100万元。
徐州市的支持政策发布时间是2022年2月21日。其政策名称是《关于组织开展2022年江苏省两化融合管理体系贯标示范企业培育遴选工作的通知》发布时间，其支持政策的具体内容是一、申报流程1.各申报企业须在两化融合服务平台上完成企业两化融合水平的自评估，评估结果作为整个示范培育的必要条件。2.各地主管部门将推荐汇总表和企业的申报材料盖章纸质版（一式两份）于2022年3月28日前报送至市工信局，相应电子文档（可无公章）发送至指定邮箱。二、注意事项1、申报对象为在徐州市内注册的企业，不限行业。2021年度省两化融合贯标A级、AA级、AAA级试点企业不再列入同级别示范企业培育对象。2、本次示范培育分A级、AA级、AAA级三个级别，企业可根据两化融合建设情况直接申报相应级别培育。3、2021年度通过两化融合管理体系贯标A级、AA级、AAA级认定的企业，不得申报同级别示范企业培育，但可申报更高级别示范企业培育对象。4、省工信厅将于5月份公布2022年度贯标示范培育企业名单，并推进咨询服务机构与培育企业结对子。2022年11月30日前通过两化融合管理体系AAA级贯标评定审核的培育对象，可申报本年度省两化融合管理体系贯标示范企业，具体时间另行通知。"
工业互联网示范试点类企业（工业互联网重点平台、工业互联网标杆工厂、工业互联网典型应用企业、工业互联网专业服务商等）的项目,"宿迁市的支持政策发布时间是2021年。其政策名称是《宿迁市建设长三角先进制造业基地三年行动计划（2021－2023年）》，其支持政策的具体内容是对当年获省、市认定的工业互联网标杆工厂分别奖励50万元、5万元。
徐州市的支持政策发布时间是2022年2月24日。其政策名称是《关于组织开展2022年徐州市企业技术中心认定工作的通知》，其支持政策的具体内容是一、申报领域及条件申报领域为工业类。优先支持我市工程机械与智能装备、新能源、集成电路与ICT、生物医药与大健康、新材料、节能环保、食品及农副产品加工、钢铁冶金、绿色化工、建筑建材、数字经济、汽车等主导产业，以及5G、工业互联网、大数据、物联网、人工智能、区块链等新兴行业。申报企业要求诚信经营，近两年内（指申请当年向前推算两年）无涉税违法、走私、重大产品质量事故或重大安全责任事故等严重失信记录等行为。申报企业必须具备以下基本条件：1.具备较强的技术创新实力和较好的经济效益，在全市同行业中具有竞争优势，企业年主营收入总额在2000万元以上，高新技术企业年主营收入总额在1000万元以上，或企业主营业务收入未达以上标准，企业研发与实验发展经费支出占主营业务收入的比重高于10%。2.企业领导重视技术创新和技术中心工作，具有较强市场开拓和技术创新意识，企业重视技术研发，为技术中心建设创造良好的技术创新条件。3.企业有一定的技术创新投入，年研究与实验经费支出额不低于200万元。4.企业具有较完备的研发、试验条件，技术开发仪器设备原值不低于200万元。5.企业拥有技术水平高、实践经验丰富的技术带头人，专职研究与试验发展人员数不低于15人。二、申报程序（一）按照《管理方法》要求，组织申请企业编写市级企业技术中心申请材料，并对其真实性进行审核（申请材料格式要求见附件1）；（二）按照市级企业技术中心评价方法（见附件2），对申请企业技术中心进行初评；（三）采取公平公正公开的适当形式，择优推荐符合重点领域、基本条件、《管理办法》规定和初评得分高于60分（包含60分）的企业技术中心。"
专精特新小巨人、单项冠军的项目,宿迁市的支持政策发布时间是2021年。其政策名称是《宿迁市建设长三角先进制造业基地三年行动计划（2021－2023年）》，其支持政策的具体内容是5.支持企业争创国家制造业单项冠军企业（产品）和省级以上“专精特新”小巨人企业（产品），对获批国家级的奖励100万元，获批省级的奖励30万元。对首次入选省独角兽、潜在独角兽、瞪羚企业的，分别给予200万、100万、50万元奖励。
两化融合贯标的项目,"宿迁市的支持政策发布时间是2021年。其政策名称是《宿迁市建设长三角先进制造业基地三年行动计划（2021－2023年）》，其支持政策的具体内容是对当年通过两化融合管理体系贯标评定的企业，按照评定分级，5A级、4A级、3A级、2A级分别奖励20万元、15万元、10万元、5万元。
镇江市的支持政策发布时间是2022年3月29日。其政策名称是关于支持制造业智能化改造和数字化转型的若干政策措施，其支持政策的具体内容是对获得国家两化融合管理体系贯标的企业给予不高于3万元的补贴；"
智能车间的项目,宿迁市的支持政策发布时间是2021年、2022年。其政策名称是1、《关于2021年度支持苏北五市制造业智改数转资金项目遴选的通知》（苏工信综合〔2021〕609号）2、《关于2021年度省切块制造业智改数转资金项目申报的通知》宿工信发〔2022〕3号，其支持政策的具体内容是1、获批江苏省智能制造示范工厂2、有智能化改造/建设项目，项目已开工建设，项目备案（核准）、环评、能评、安评、规划、土地等手续完备3、2021年1月1日—2021年12月31日期间引进和购置先进智能设备的有效投入不低于1000万元4、按有效投入的10%予以补助。原则上单个项目补助标准最低金额不得低于100万元。镇江市的支持政策发布时间是2022年3月29日。其政策名称是关于支持制造业智能化改造和数字化转型的若干政策措施，其支持政策的具体内容是对获评省级智能制造示范车间的企业给予20万元的奖励；。
5G+工业互联网融合应用项目的项目,宿迁市的支持政策发布时间是2021年、2022年。其政策名称是1、《关于2021年度支持苏北五市制造业智改数转资金项目遴选的通知》（苏工信综合〔2021〕609号）2、《关于2021年度省切块制造业智改数转资金项目申报的通知》宿工信发〔2022〕3号，其支持政策的具体内容是1、2021年项目总投入不低于1000万元2、项目已开工建设且尚未建成（即后续仍有投入），须在2022年底前建设完成。项目建设主体与电信运营企业已签订5G网络建设或租赁合同。3、优先支持市“5G+工业互联网”项目库项目4、按有效投入的10%予以补助。原则上单个项目补助标准最低金额不得低于100万元，最高不超过200万元。
制造业企业新模式、新业态类项目的项目,泰州市的支持政策发布时间是2023年4月4日。其政策名称是《关于组织2023年泰州市工业经济转型升级专项资金项目申报工作的通知》，其支持政策的具体内容是1、申报主体另需符合以下特定条件：①项目申报主体为市级以上服务型制造示范企业；②制造业企业服务化项目服务性收入达主营业务收入的10%以上；③申报项目2022年总投入（不含税）达到300万元及以上。2、奖励标准：按不超过项目投入（不含税）的10%给予补助，单个企业最高100万元。
工业设计与制造业融合发展类项目的项目,泰州市的支持政策发布时间是2023年4月4日。其政策名称是《关于组织2023年泰州市工业经济转型升级专项资金项目申报工作的通知》，其支持政策的具体内容是1、申报主体另需符合以下特定条件：①申报企业为泰州市区注册的制造业法人企业（即合同的甲方），与提供工业设计外包服务的独立法人企业（即合同的乙方）不是关联企业；②甲、乙双方已就采购工业设计外包服务项目签订合同，并经甲方所在地工业设计主管部门确认；③项目主要内容属于产品设计、品牌设计等工业设计范畴，符合泰州市鼓励发展的产业导向；④甲方已收到乙方交付的最终设计成果并投入应用；⑤甲方已向乙方支付全部设计费用并收到乙方开具的发票（实际支付金额不低于10万元，最终付款时间和最终开票时间均应在政策有效期内）。2、奖励标准：按不超过外包项目合同履约金额的10%给予补助，单个项目最高25万元。
互联网化提升类项目的项目,泰州市的支持政策发布时间是2023年4月4日。其政策名称是《关于组织2023年泰州市工业经济转型升级专项资金项目申报工作的通知》，其支持政策的具体内容是1、申报主体另需符合以下特定条件：①企业在建或已完成互联网化提升项目，需围绕研发设计协同化、生产管控集成化、购销经营平台化、制造服务网络化等重点环节提升互联网融合创新发展水平；②软件和配套硬件等2022年投资（不含税）达200万元以上，且软件投入（包括购置费、开发费、测试验证费、项目咨询费、人工费等，其中人工费用不超过总投入的10%）不少于总投入的30%。项目总投入包括设备、工具、器具等固定资产投资（仅包含可实现联网和数据采集或为实现上述目的采购相关硬件发生的投入），以及与项目有关的软件、系统集成、检验检测、专利等其他投入。2、奖励标准：对企业在上述重点环节实施信息化改造、软件和配套硬件等投资（不含税）达200万元以上，且软件投资占比不低于30%的项目，按不超过项目投入（不含税）的12%给予补助，单个项目最高150万元。
中小企业加快发展类项目的项目,泰州市的支持政策发布时间是2023年4月4日。其政策名称是《关于组织2023年泰州市工业经济转型升级专项资金项目申报工作的通知》，其支持政策的具体内容是1、申报主体另需符合以下特定条件：①符合国家现行有关中小企业划分标准中认定的中小企业（工信部联企〔2011〕300号）；②开票销售收入、入库税收两项指标连续两年增长率均超过20%的企业。2、奖励标准：①年主营业务收入2000–5000万元（含2000万元）之间的企业，2022年开票销售收入、入库税收两项指标较上年增长30%以上且入库税收达50万元，最高奖励10万元；②年主营业务收入5000万元–1亿元（含5000万元）之间的企业，2022年开票销售收入、入库税收两项指标较上年增长25%以上且入库税收达100万元，最高奖励15万元；③年主营业务收入1亿元及以上的企业，2022年开票销售收入、入库税收两项指标较上年增长20%以上且入库税收达200万元，最高奖励20万元。上述增幅需同口径比较，如企业财务年度经营业绩不足12个月的应折算为12个月进行比较。企业2020年开票销售收入、入库税收两项指标中任一项数值不为正值，不得申报。
专精特新企业专利新产品类项目的项目,泰州市的支持政策发布时间是2023年4月4日。其政策名称是《关于组织2023年泰州市工业经济转型升级专项资金项目申报工作的通知》，其支持政策的具体内容是1、申报主体另需符合以下特定条件：近两年获省级以上认定（不包含复核通过）的专精特新中小企业（含2021年的省专精特新产品、小巨人企业），且2022年专利新产品开票销售首次突破1000万元（2021年专利新产品开票销售应低于1000万元）。2、奖励标准：按新产品开票销售额的2%给予奖励，最高不超过50万元。
专精特新企业设备投入项目的项目,泰州市的支持政策发布时间是2023年4月4日。其政策名称是《关于组织2023年泰州市工业经济转型升级专项资金项目申报工作的通知》，其支持政策的具体内容是1、申报主体另需符合以下特定条件：2020年以来市级及以上认定（含复核通过）的专精特新中小企业（含专精特新小巨人企业），2022年企业在自动化、数字化、智能化改造升级的设备投入额在300万元-1000万元间（不含税，以发票时间为准），设备投入超过1000万元的企业不可申报。获得2022年度第一批省中小企业服务专项资金（设备购置类）的企业，如通过评审，届时相应扣除已发放的省资金部分。2、奖励标准：符合条件的企业，按照不超过设备投资额（不含税）的8%给予奖励，最高不超过80万元。
诊断服务项目（节能专项）的项目,泰州市的支持政策发布时间是2023年4月4日。其政策名称是《关于组织2023年泰州市工业经济转型升级专项资金项目申报工作的通知》，其支持政策的具体内容是1、申报主体另需符合以下特定条件：第三方机构对列入年度节能诊断服务名单的本地企业免费提供节能诊断的，对列入年度绿色诊断服务名单的本地企业免费提供绿色诊断的。2、奖励标准：免费提供节能诊断的，结合专家评审结果等，以不超过3万元/户的标准给予分档奖励。免费提供绿色诊断的，结合专家评审等，以不超过6万元/户的标准给予分档奖励。对列入国家、省级年度诊断服务项目并享受省级及以上奖补资金的，按节能诊断不超过3万元/户、绿色诊断不超过6万元/户的标准进行补差。
智改数转贷款贴息（金融支持制造业智改数转专项）的项目,泰州市的支持政策发布时间是2023年4月4日。其政策名称是《关于组织2023年泰州市工业经济转型升级专项资金项目申报工作的通知》，其支持政策的具体内容是1、申报主体另需符合以下特定条件：企业实施的智能化改造和数字化转型项目纳入市“智改数转”项目库，该项目获得金融机构发放的制造业企业智能化改造和数字化转型项目贷款。2、奖励标准：按年贷款额的1%给予贴息奖励，单个企业每年最高奖励额度不超过100万元。
互联网标杆工厂的项目,无锡市的支持政策发布时间是2023年5月9日。其政策名称是《关于发布2023年度无锡市工业转型升级资金项目指南及组织项目申报的通知》，其支持政策的具体内容是3.对获得工信部工业互联网创新发展工程项目且建成验收通过的企业和获得省级智能工厂、工业互联网标杆工厂、领军服务机构等省级智能制造和工业互联网领域相关荣誉的企业，给予最高100万元的一次性奖励；。
互联网平台试点、互联网平台的项目,无锡市的支持政策发布时间是2023年5月9日。其政策名称是《关于发布2023年度无锡市工业转型升级资金项目指南及组织项目申报的通知》，其支持政策的具体内容是4.对获得工信部工业互联网平台试点示范、省级重点工业互联网平台的企业，给予最高100万元的一次性奖励。
智能化改造的项目,"无锡市的支持政策发布时间是2022年3月30日。其政策名称是《无锡市加快智能化改造数字化转型绿色化提升若干政策措施》，其支持政策的具体内容是1.技术和设备投资额300万元以上的智能制造示范项目择优给予补助，不超过其投资额的10%，最高1000万元。2.技术和服务投资额50万元以上的企业两化融合项目择优给予补助，不超过其投资额的10%，最高100万元。3.新一代信息技术应用示范项目分档择优给予一次性奖励，最高300万元。
扬州市的支持政策发布时间是2023年8月1日（更新时间：2023年8月1日）。其政策名称是《江苏省制造业智能化改造和数字化转型三年行动计划(2022-2024年)》《扬州市关于加快推进制造业智能化改造和数字化转型的实施意见》《扬州市“十四五”工业经济高质量发展规划》，其支持政策的具体内容是对年智能制造设备、软件和技术服务投资额达到2000万元以上的项目，按照不高于投资额的13%给予补助，最高600万元。其政策名称是《2022年度市级智能化改造和数字化转型专项资金项目申报指南》，其支持政策的具体内容是对2022年1-8月份智能制设备、软件和技术服务发票总金额不低于2000万元（不含税，其中软件和技术服务费用不超过30%)，按照不高于发票总金额的13%给予补助，最高不超过600万元。"
绿色化提升的项目,无锡市的支持政策发布时间是2022年3月30日。其政策名称是《无锡市加快智能化改造数字化转型绿色化提升若干政策措施》，其支持政策的具体内容是4.年节能量达到200吨标准煤的节能改造项目和节能量达到5O吨标准煤的合同能源管理项目，每吨标准煤奖励最高500元，单个项目最高200万元。5.节能环保和可再生能源技术（产品)推广项目智慧化能源监测管理项目，节水、节材、废弃物资源化、再制造等资源综合利用项目清洁生产、循环经济等碳中和项目，不超过其投资额的10%，单个项目最高200万元。6.淘汰落后用能设备、节能信息服务、节能基础管理等绿色制造支撑能力建设项目，按照具体成效分档择优给予补助，最高100万元。
标杆工厂的项目,无锡市的支持政策发布时间是2022年3月30日。其政策名称是《无锡市加快智能化改造数字化转型绿色化提升若干政策措施》，其支持政策的具体内容是7.获得工信部智能制造示范工厂、智能制造优秀等国家级智能制造领域相关荣誉的企业，给予最高100万元的一次性奖励。8.获得工信部智能制造新模式应用项目、工业互联网创新发展工程项目且建成验收通过后的企业获得省级智能工厂、工业互联网标杆工厂、智能车间、领军服务机构等省级智能制造和工业互联网领域相关荣誉的企业给予最高100万元的一次性奖励。9.获得“灯塔工厂”的企业给予最高200万元的一次性奖励。
专精特新中小企业的项目,无锡市的支持政策发布时间是2022年12月1日。其政策名称是《市政府办公室关于印发无锡市促进“专精特新”中小企业高质量发展若干政策的通知》、《无锡市为专精特新“小巨人”企业办实事清单》（有效期至2025年12月31日），其支持政策的具体内容是对于首次获评国家专精特新“小巨人”企业、省“专精特新”中小企业的，市财政分别给予50万元、30万元的一次性奖励；对通过复审的国家专精特新“小巨人”企业、省“专精特新”中小企业，市财政分别给予30万元、20万元的一次性奖励；对外地迁入的国家专精特新“小巨人”企业、省“专精特新”中小企业，迁入当年视作首次获评进行奖励。
专精特新软件企业入库的项目,徐州市的支持政策发布时间是2022年7月6日。其政策名称是关于开展2022年江苏省规划布局内重点软件企业和专精特新软件企业培育入库工作的通知，其支持政策的具体内容是一、推荐依据。参照最新修订的《江苏省规划布局内重点软件企业评估规范》（T/JSIA0004-2022）、《江苏省专精特新软件企业评估规范》（T/JSIA0005-2022）。二、入库有效期。入库企业有效期为2年（2021年入库企业无需重复申报）。企业（含已入库企业及新申报企业）须定期通过江苏省软件行业政企服务平台报送主要经营数据，接受动态监测。三、推荐办法。按照企业自愿申报原则，由市工信局组织专家参照评估规范的评价标准进行评审，达到标准的给予推荐。同一企业只能选择一个类别申报。四、时间要求。请各单位于2022年8月10日前向市工信局上报推荐函、推荐名单、企业纸质申报材料（一式两份），并将电子材料发送至指定邮箱。五、责任分工。市工业和信息化局信息产业处全面负责项目申报有关工作，组织专家进行评审，并择优向省工信厅推荐；各县（市）区工信局、经开区经发局、高新区经发局、港务区经发部应做好政策宣贯工作，积极动员辖区内企业申报项目，对拟申报企业认真审核后出具推荐函以及《2022年江苏省规划布局内重点软件企业培育推荐名单》或《2022年江苏省专精特新软件企业培育推荐名单》并加盖公章；企业按照评估规范的要求提交申报材料；市软件行业协会应配合各地区工信主管部门开展宣传动员，协助市工信局做好形式审查等工作。
对按技改投资列统，列入市重点技改项目管理(2024年起执行)的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,企业技术改造其支持政策的具体内容是年度设备投资额500万元以上的企业技术改造项目(安全环保技术改造项目投资额300万元以上)，按实际设备投资额的5%给予奖励；在市企业“争星创优”活动中，被认定为三星、四星、五星和突出贡献奖的企业，分别按实际设备投资额的6%、7%、8%和9%给予奖励。属于重点产业链的项目，奖励额度在以上奖励基础上提高2个百分点。最高不超过500万元。"
